"Country","Brand_count"
"Japan",58
"United States of America",49
"Taiwan",47
"South Korea",35
"Malaysia",34
"China",33
"Thailand",25
"Indonesia",19
"Vietnam",19
"Hong Kong",12
"United Kingdom",12
"Singapore",10
"Canada",9
"India",8
"Australia",5
"Philippines",5
"Germany",4
"Hungary",4
"Mexico",4
"Netherlands",4
"Bangladesh",3
"Pakistan",3
"Cambodia",2
"Fiji",2
"Ghana",2
"Myanmar",2
"Poland",2
"Sweden",2
"Brazil",1
"Colombia",1
"Estonia",1
"Finland",1
"Nepal",1
"Nigeria",1
"United Arab Emirates",1
