"","Country","freq"
"1","Australia",22
"2","Bangladesh",7
"3","Brazil",5
"4","Cambodia",5
"5","Canada",41
"6","China",168
"7","Colombia",6
"8","Estonia",2
"9","Fiji",4
"10","Finland",3
"11","Germany",27
"12","Ghana",2
"13","Hong Kong",137
"14","Hungary",9
"15","India",31
"16","Indonesia",126
"17","Japan",352
"18","Malaysia",158
"19","Mexico",25
"20","Myanmar",14
"21","Nepal",14
"22","Netherlands",19
"23","Nigeria",1
"24","Pakistan",9
"25","Philippines",47
"26","Poland",4
"27","Singapore",109
"28","South Korea",307
"29","Sweden",3
"30","Taiwan",223
"31","Thailand",191
"32","United Arab Emirates",3
"33","United Kingdom",69
"34","United States of America",324
"35","Vietnam",108
